bin,sku,Msku,Asin,External id 1,External id 2,External id 3,title,Sellable,Unsellable - Total,Unsellable - Vendor Damage,Unsellable - Carrier Damage,Unsellable - Warehouse Damage,Unsellable - Defective,Unsellable - Shipper Damage,Unsellable - Customer Return Damage,Unsellable - Expired,Reserved,Customer returns,Pending Cancelled,Actual expiration,Amazon expiration
A300,X001ZWONJ9,Clayherbs Soap 20pc 15g,B0CVXV9WPH,,,,Clayherbs Aloe Vear Soap | Mini Soap For Travel | Hotel Toiletries In Bluk | Body Wash | Room Amenities | Nourishing Bar 15g | 30Ml 2pc Hair and Body Wash Gel Free (20),36,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
A200,X001ZWOCI1,Clayherbs Soap 200pc 15g,B0CVXQHYRV,,,,Clayherbs Aloe Vear Soap | Mini Soap For Travel | Hotel Toiletries In Bluk | Body Wash | Room Amenities | Nourishing Bar 15g | 30Ml 2pc Hair and Body Wash Gel Free (200),48,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
A100,X001YY053B,Clayherbs Soap 30pc 15g,B0CVXS9GNC,,,,Clayherbs Aloe Vear Soap | Mini Soap For Travel | Hotel Toiletries In Bluk | Body Wash | Room Amenities | Nourishing Bar 15g | 30Ml 2pc Hair and Body Wash Gel Free (30),51,0,0,0,0,0,0,0,0,1,0,0,31-Oct-2027,01-Oct-2027
A200,X001YY053B,Clayherbs Soap 30pc 15g,B0CVXS9GNC,,,,Clayherbs Aloe Vear Soap | Mini Soap For Travel | Hotel Toiletries In Bluk | Body Wash | Room Amenities | Nourishing Bar 15g | 30Ml 2pc Hair and Body Wash Gel Free (30),5,0,0,0,0,0,0,0,0,0,0,0,31-Oct-2027,01-Oct-2027
A200,X001YY0VQH,Clayherbs Soap 50pc 15g,B0CVXSFVXP,,,,Clayherbs Aloe Vear Soap | Mini Soap For Travel | Hotel Toiletries In Bluk | Body Wash | Room Amenities | Nourishing Bar 15g | 30Ml 2pc Hair and Body Wash Gel Free (50),41,0,0,0,0,0,0,0,0,0,0,0,31-Oct-2027,01-Oct-2027
A100,X001SK9ERT,CBS-shwr-gel-mstzr-25-ech-pk-of-50,B0BSNJHJVN,,,,Clayherbs Ayurveda Pack Of 50 | 22 Ml Tubes Shower Gel and Moisturizer Liquid Soap| Hotel Toiletries Kit | Guest House Kit | Hotel Accessories | SPA Amenities 25pc Each,29,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2026,01-Dec-2026
A100,X001SIWTH3,clyhrbs-bigbottle-mstzr-pk-of-50,B0BT7SR9NP,,,,Clayherbs Ayurveda Pack-50 | Moisturizer 30ml | Body Lotion Fragrance Of Cocoa Butter For Amenities | Hotel Toiletries | Guest Room | Nourishing | Hospital Toiletry Kits |,28,0,0,0,0,0,0,0,0,0,0,0,,
A100,X001SKAUXB,Clayherbs AloeLily Conditioner 100,B0BRJL4498,,,,Clayherbs Ayurveda | 100 Set Of Hair Conditioner 22 Ml | Replenishing Hair Conditioner For Hotel Amenities | Hotel Toiletries | Guest House Kit | Hotel Accessories | Pack Of 100,199,0,0,0,0,0,0,0,0,0,0,0,,
A100,X001SK9FP5,Clayherbs Aloe Lily Moisturizer 100,B0BRD6JWML,,,,Clayherbs Ayurveda | 100 Set Of Moisturizer 22 Ml | Nourishing Moisturizer For Hotel Amenities | Hospital Toiletry Kits | Guest House Kit | Hotel Accessories | Pack Of 100,24,0,0,0,0,0,0,0,0,0,0,0,,
A200,X001ZWIT85,CH-bigbotle-shwrgel-moistzr-pk-50-ech-25,B0BTDHRPY7,,,,"Clayherbs Ayurveda | 25 Pcs Shower Gel 30ml, 25 Pcs Moisturizer 30ml Combo For Amenities | Hotel Toiletries | Guest Room Kit | Hotel Accessories | Hospital | Spa | PO - 50",47,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
